sample_idx,model_type,rel_l2,pde_residual
189,Data-Driven FNO,0.5853456258773804,95.364990234375
190,PI-FNO,0.3833405375480652,62.300838470458984
190,Data-Driven FNO,0.4603651463985443,124.04280090332031
191,PI-FNO,0.5709046125411987,19.3643798828125
191,Data-Driven FNO,0.5973937511444092,38.507720947265625
192,PI-FNO,0.49995341897010803,24.926986694335938
192,Data-Driven FNO,0.48405957221984863,46.275672912597656
193,PI-FNO,0.34962883591651917,132.3197021484375
193,Data-Driven FNO,0.36778169870376587,188.66693115234375
194,PI-FNO,0.40568315982818604,198.04891967773438
194,Data-Driven FNO,0.44416922330856323,298.08270263671875
195,PI-FNO,0.3579031825065613,37.379146575927734
195,Data-Driven FNO,0.3554829955101013,72.71282958984375
196,PI-FNO,0.3344061076641083,27.04084014892578
196,Data-Driven FNO,0.36981475353240967,52.976036071777344
197,PI-FNO,0.6601642370223999,29.75217056274414
197,Data-Driven FNO,0.6183109283447266,55.19198989868164
198,PI-FNO,0.6444583535194397,22.66429328918457
198,Data-Driven FNO,0.651470959186554,30.407245635986328
199,PI-FNO,0.45410966873168945,15.65009593963623
199,Data-Driven FNO,0.4836241900920868,30.602815628051758
200,PI-FNO,0.38747966289520264,32.84635925292969
200,Data-Driven FNO,0.36614271998405457,49.73517990112305
201,PI-FNO,0.3913712203502655,96.71192169189453
201,Data-Driven FNO,0.37517210841178894,197.10606384277344
202,PI-FNO,0.5820949077606201,50.3292350769043
